"Name","DisplayName","Description","Status"
"TrustedInstaller","Programme d’installation pour les modules Windows",,"Stopped"
"tzautoupdate","Programme de mise à jour automatique du fuseau horaire",,"Stopped"
"UevAgentService","Service User Experience Virtualization",,"Stopped"
"UnistoreSvc_ba942","Stockage des données utilisateur_ba942",,"Stopped"
"upnphost","Hôte de périphérique UPnP",,"Stopped"
"UserDataSvc_ba942","Accès aux données utilisateur_ba942",,"Stopped"
"VaultSvc","Gestionnaire d’informations d’identification",,"Stopped"
"vmicguestinterface","Interface de services d’invité Hyper-V",,"Stopped"
"vmicheartbeat","Service Pulsation Microsoft Hyper-V",,"Stopped"
"vmickvpexchange","Service Échange de données Microsoft Hyper-V",,"Stopped"
"vmicrdv","Service de virtualisation Bureau à distance Hyper-V",,"Stopped"
"vmicshutdown","Service Arrêt de l’invité Microsoft Hyper-V",,"Stopped"
"vmictimesync","Service Synchronisation date/heure Microsoft Hyper-V",,"Stopped"
"vmicvmsession","Service Hyper-V PowerShell Direct",,"Stopped"
"vmicvss","Requête du service VSS Microsoft Hyper-V",,"Stopped"
"VSS","Cliché instantané des volumes",,"Stopped"
"WaaSMedicSvc","Windows Update Medic Service",,"Stopped"
"WalletService","WalletService",,"Stopped"
"WarpJITSvc","WarpJITSvc",,"Stopped"
"WbioSrvc","Service de biométrie Windows",,"Stopped"
"WdiServiceHost","Service hôte WDIServiceHost",,"Stopped"
"WdiSystemHost","Hôte système de diagnostics",,"Stopped"
"Wecsvc","Collecteur d’événements de Windows",,"Stopped"
"WEPHOSTSVC","Service hôte du fournisseur de chiffrement Windows",,"Stopped"
"wercplsupport","Prise en charge de l’application Rapports et solutions aux problèmes du Panneau de configuration",,"Stopped"
"WerSvc","Service de rapport d’erreurs Windows",,"Stopped"
"WiaRpc","Événements d’acquisition d’images fixes",,"Stopped"
"wisvc","Service Windows Insider",,"Stopped"
"wlidsvc","Assistant Connexion avec un compte Microsoft",,"Stopped"
"wmiApSrv","Carte de performance WMI",,"Stopped"
"WMPNetworkSvc","Service Partage réseau du Lecteur Windows Media",,"Stopped"
"WPDBusEnum","Service Énumérateur d’appareil mobile",,"Stopped"
"WSearch","Windows Search",,"Stopped"
"wuauserv","Windows Update",,"Stopped"
